Date;STOXX50E
12/1/17;37,640137
13/1/17;-29,810059
16/1/17;-9,48999
17/1/17;8,959961
18/1/17;-3,669922
19/1/17;9,109863
20/1/17;-26,399902
23/1/17;8,48999
24/1/17;44,619873
25/1/17;-7,020019
26/1/17;-15,799805
27/1/17;-40,610107
30/1/17;-32,040039
31/1/17;28,23999
1/2/17;-5,309815
2/2/17;19,5
3/2/17;-34,800048
6/2/17;-2,600098
7/2/17;2,330078
8/2/17;39,75
9/2/17;-6,959961
10/2/17;34,399902
13/2/17;3,659913
14/2/17;14,820068
15/2/17;-12,669922
16/2/17;-2,22998
17/2/17;3,579834
20/2/17;26,940185
21/2/17;-0,060058
22/2/17;-5,310059
23/2/17;-29,869873
24/2/17;5,209961
27/2/17;10,310058
28/2/17;70,589844
1/3/17;-5,48999
2/3/17;18,679932
3/3/17;-15,929932
6/3/17;-2,339844
7/3/17;4,5
8/3/17;20,269776
9/3/17;6,380127
10/3/17;-0,78003
13/3/17;-16,050049
14/3/17;9,880127
15/3/17;30,639893
16/3/17;8,449951
17/3/17;-10,929932
20/3/17;-7,859863
21/3/17;-8,920166
22/3/17;31,479981
23/3/17;-8,03003
24/3/17;-7,010009
27/3/17;27,930175
28/3/17;10,199952
29/3/17;6,310058
30/3/17;19,349854
31/3/17;-27,989991
3/4/17;8,719971
4/4/17;-9,079834
5/4/17;16,98999
6/4/17;6,229981
7/4/17;-15,360108
10/4/17;-10,399902
11/4/17;-1,530029
12/4/17;-20,25
13/4/17;-38,479981
18/4/17;11,209961
19/4/17;19,040039
20/4/17;0,239991
21/4/17;137,109863
24/4/17;5,780029
25/4/17;-4,449951
26/4/17;-15,419922
27/4/17;-3,699951
28/4/17;18,619873
2/5/17;8,040039
3/5/17;41,629883
4/5/17;30,910156
5/5/17;-16,679932
8/5/17;6,969971
9/5/17;-3,340088
10/5/17;-22,189941
11/5/17;13,969971
12/5/17;4,359863
15/5/17;0,01001
16/5/17;-57,059815
17/5/17;-22,610107
18/5/17;24,790039
19/5/17;-10,479981
22/5/17;18,5
23/5/17;-8,409912
24/5/17;-7,600097
26/5/17;-0,070069
29/5/17;-17,72998
30/5/17;-6,629883
31/5/17;12,429932
1/6/17;24,800048
2/6/17;-37,640136
6/6/17;-5,339844
7/6/17;15,039795
8/6/17;22,190185
9/6/17;-42,120117
12/6/17;13,920166
13/6/17;-10,720215
14/6/17;-21,689941
15/6/17;18,419922
16/6/17;35,700195
19/6/17;-18,920166
20/6/17;-6,309814
21/6/17;1,409912
