Date,Open,High,Low,Close,Adj Close,Volume
2014-08-26,1396.140015,1407.930054,1394.420044,1407.540039,1407.540039,0
2014-08-27,1408.040039,1411.300049,1405.199951,1408.609985,1408.609985,0
2014-08-28,1406.849976,1408.750000,1396.719971,1399.520020,1399.520020,0
2014-08-29,1400.739990,1407.089966,1393.709961,1404.170044,1404.170044,0
2014-09-02,1406.859985,1413.589966,1404.189941,1406.810059,1406.810059,0
2014-09-03,1405.359985,1422.839966,1405.359985,1416.660034,1416.660034,0
2014-09-04,1415.800049,1435.209961,1412.859985,1433.189941,1433.189941,0
2014-09-05,1431.089966,1432.050049,1422.630005,1427.550049,1427.550049,0
2014-09-08,1429.420044,1429.420044,1413.969971,1421.150024,1421.150024,0
2014-09-09,1421.979980,1424.390015,1415.589966,1416.199951,1416.199951,0
2014-09-10,1412.369995,1417.290039,1408.140015,1416.420044,1416.420044,0
2014-09-11,1418.949951,1422.540039,1408.040039,1414.589966,1414.589966,0
2014-09-12,1415.849976,1418.709961,1411.699951,1413.800049,1413.800049,0
2014-09-15,1413.849976,1416.489990,1407.689941,1413.020020,1413.020020,0
2014-09-16,1415.699951,1415.699951,1403.369995,1409.750000,1409.750000,0
2014-09-17,1413.290039,1418.979980,1411.280029,1416.000000,1416.000000,0
2014-09-18,1417.709961,1431.140015,1417.510010,1429.790039,1429.790039,0
2014-09-19,1432.689941,1442.270020,1432.160034,1432.729980,1432.729980,0
2014-09-22,1429.949951,1432.920044,1423.199951,1424.660034,1424.660034,0
2014-09-23,1422.550049,1424.800049,1402.010010,1405.369995,1405.369995,0
2014-09-24,1406.150024,1416.160034,1400.290039,1415.900024,1415.900024,0
2014-09-25,1415.750000,1422.400024,1399.770020,1402.910034,1402.910034,0
2014-09-26,1403.079956,1410.459961,1396.699951,1407.839966,1407.839966,0
2014-09-29,1407.209961,1409.030029,1393.780029,1401.979980,1401.979980,0
2014-09-30,1402.619995,1413.410034,1402.569946,1410.849976,1410.849976,0
2014-10-01,1410.880005,1412.660034,1395.489990,1397.880005,1397.880005,0
2014-10-02,1396.719971,1397.189941,1363.699951,1364.270020,1364.270020,0
2014-10-03,1367.020020,1379.750000,1364.449951,1376.910034,1376.910034,0
2014-10-06,1375.589966,1388.160034,1375.589966,1380.199951,1380.199951,0
2014-10-07,1376.209961,1380.890015,1358.619995,1359.050049,1359.050049,0
2014-10-08,1358.760010,1358.770020,1344.420044,1347.969971,1347.969971,0
2014-10-09,1339.829956,1363.109985,1339.829956,1342.689941,1342.689941,0
2014-10-10,1343.060059,1343.060059,1317.079956,1321.810059,1321.810059,0
2014-10-13,1322.479980,1329.560059,1310.760010,1322.199951,1322.199951,0
2014-10-14,1319.650024,1324.630005,1302.849976,1322.209961,1322.209961,0
2014-10-15,1322.469971,1322.719971,1277.819946,1279.160034,1279.160034,0
2014-10-16,1279.619995,1292.530029,1241.369995,1273.569946,1273.569946,0
2014-10-17,1276.209961,1310.290039,1272.469971,1308.969971,1308.969971,0
2014-10-20,1311.180054,1311.180054,1293.510010,1301.670044,1301.670044,0
2014-10-21,1297.859985,1329.000000,1293.250000,1328.839966,1328.839966,0
2014-10-22,1327.949951,1339.050049,1321.640015,1338.650024,1338.650024,0
2014-10-23,1338.670044,1349.150024,1323.280029,1347.079956,1347.079956,0
2014-10-24,1347.349976,1347.359985,1337.619995,1342.800049,1342.800049,0
2014-10-27,1340.949951,1353.910034,1327.500000,1334.209961,1334.209961,0
2014-10-28,1333.949951,1349.250000,1333.699951,1347.079956,1347.079956,0
2014-10-29,1348.089966,1356.000000,1346.719971,1349.609985,1349.609985,0
2014-10-30,1367.729980,1367.729980,1334.760010,1357.920044,1357.920044,0
2014-10-31,1358.589966,1383.469971,1358.520020,1382.410034,1382.410034,0
2014-11-03,1383.750000,1385.800049,1369.109985,1371.290039,1371.290039,0
2014-11-04,1370.550049,1377.060059,1354.550049,1356.550049,1356.550049,0
2014-11-05,1356.930054,1379.939941,1356.869995,1379.609985,1379.609985,0
2014-11-06,1378.849976,1394.479980,1371.170044,1382.410034,1382.410034,0
2014-11-07,1382.829956,1387.650024,1368.719971,1375.390015,1375.390015,0
2014-11-10,1375.239990,1386.099976,1372.329956,1385.530029,1385.530029,0
2014-11-11,1386.930054,1392.660034,1385.229980,1389.920044,1389.920044,0
2014-11-12,1385.469971,1389.670044,1372.500000,1374.959961,1374.959961,0
2014-11-13,1373.530029,1383.290039,1368.550049,1377.349976,1377.349976,0
2014-11-14,1379.949951,1380.699951,1369.170044,1376.489990,1376.489990,0
2014-11-17,1372.479980,1385.790039,1366.319946,1383.880005,1383.880005,0
2014-11-18,1378.949951,1393.750000,1378.949951,1392.339966,1392.339966,0
2014-11-19,1392.839966,1397.160034,1387.319946,1391.640015,1391.640015,0
2014-11-20,1392.640015,1392.640015,1378.839966,1387.890015,1387.890015,0
2014-11-21,1385.900024,1418.270020,1385.900024,1417.819946,1417.819946,0
2014-11-24,1416.619995,1424.869995,1415.859985,1419.469971,1419.469971,0
2014-11-25,1420.270020,1428.069946,1416.739990,1421.510010,1421.510010,0
2014-11-26,1421.619995,1427.880005,1420.209961,1421.959961,1421.959961,0
2014-11-28,1428.010010,1428.010010,1416.709961,1424.790039,1424.790039,0
2014-12-01,1424.160034,1424.280029,1410.630005,1417.550049,1417.550049,0
2014-12-02,1421.239990,1432.410034,1417.589966,1425.390015,1425.390015,0
2014-12-03,1425.760010,1435.369995,1425.650024,1432.410034,1432.410034,0
2014-12-04,1432.060059,1438.180054,1411.609985,1413.239990,1413.239990,0
